,date,user,tweet
0,2023-04-01 07:27:44+00:00,MohsinK94517919,"To check how many sim registered on your Cnic Just send your cnic  on 668
#เอ๋ชนม์สวัสดิ์ #AprilFoolsDay #AustralianGP #RussiaIsCollapsing #IPL2023OpeningCeremony #JioCinema #tnwx #cskvsgt https://t.co/1mXMdniygJ"
1,2023-04-01 07:27:34+00:00,JaniceSharon9,"Make money online using your phone at the comfort of your home with Eagleweb e-commerce.
#AprilFoolsDay
#RussiaIsCollapsing
#IPL2023OpeningCeremony
#JioCinema https://t.co/rFKJYIduHQ"
2,2023-04-01 07:27:33+00:00,AnaghbratiR,"Next Schedule join telegram ⬇️⬇️⬇️⬇️
https://t.co/KuX7ciWQF4

#PBKSvKKR #DCvsLSG #TATAIPL #TATAIPL2023 #IPL2023 #IPL2023OpeningCeremony #IPLonJioCinema #iplopeningceremony #Dream11 #CricketTwitter #FantasyCricket #fantasypl #FantasyFootball #JioCinema #Cricket_News https://t.co/erIOVUENi3"
3,2023-04-01 07:27:09+00:00,Myworld556,Your nic #เอ๋ชนม์สวัสดิ์ #AprilFoolsDay #AustralianGP #RussiaIsCollapsing #IPL2023OpeningCeremony #JioCinema
4,2023-04-01 07:27:00+00:00,AbdulRa76608989,"https://t.co/AaV96837gk

سرگودھا سے لاہور صرف 9 منٹ میں 😮
#AryanKhan 
#SalmanKhan 
#Zendaya 
#Salmantaseer 
#TATAIPL 
#AprilFoolsDay 
#AustralianGP 
#RussiaIsCollapsing #IPL2023OpeningCeremony #JioCinema #thankyouPikamee #cskvsgt https://t.co/tbYlSa91CH"
5,2023-04-01 07:26:21+00:00,intajmart,"Help a Poor Boy to Become a Successful Entrepreneur  @BeingSalmanKhan @SonuSood @imVkohli #IPL2023OpeningCeremony #JioCinema #JHOPE #RussiaIsCollapsing #thankyouPikamee
https://t.co/Fl2fhWUohK https://t.co/OpUTOlTtP0"
6,2023-04-01 07:26:10+00:00,abhishekray136,"भोजपुरी में  IPL  देख के मनवा गदगद हो गईल हो भइया 
जय भोजपुरिया #JioCinema 
#IPL2023 https://t.co/nADjK4uA9k"
7,2023-04-01 07:26:00+00:00,amirinfobangla,"কম্পিউটার ভাইরাস কি ভাবে প্রবেশ করে তা জানুন। 
#เอ๋ชนม์สวัสดิ์
#AprilFoolsDay
#AustralianGP
#RussiaIsCollapsing
#IPL2023OpeningCeremony
#JioCinema
#thankyouPikamee
#JHOPE
#tnwx
#cskvsgt

https://t.co/Kb7IuJz32v"
8,2023-04-01 07:25:15+00:00,SAMUELA24032306,"Happy New Month
#TGOmori
#AprilFoolsDay #AustralianGP #RussiaIsCollapsing #IPL2023OpeningCeremony #JHOPE #JioCinema #tnwx #cskvsgt https://t.co/lodTGzX31x"
9,2023-04-01 07:25:04+00:00,US_brains,"#IPL #dream11Prediction #KKRvsPBKS #KKRHaiTaiyaar @iamsrk #JioCinema #JioCinemaapp 
Super players list here

https://t.co/taaibOYRZL"
10,2023-04-01 07:24:39+00:00,emrepal955,Poz vermeye calisirken gozler kaymış #deverraders #Fotogaleria #JioCinema #SVGala5 #thankyouPikamee #dax18 https://t.co/sAzPEXEjbe
11,2023-04-01 07:24:34+00:00,deserkhobor,"https://t.co/5OV58JwVYv

#JioCinema #IPLonJioCinema #IPL2023OpeningCeremony"
12,2023-04-01 07:24:29+00:00,VayPrince,Failed breaks #เอ๋ชนม์สวัสดิ์ #IPL2023OpeningCeremony #JioCinema #JHOPE #cskvsgt #tnwx #AustralianGP https://t.co/Tt1ZFJdabi
13,2023-04-01 07:24:16+00:00,ns2227392,"#KhalparaWarMemorial is a place of remembrance and reflection, where we honor the memory of the soldiers who sacrificed their lives for the cause of freedom. #BangladeshLiberationWar #TeJran #JHOPE #JioCinema https://t.co/rikyMmcytt"
14,2023-04-01 07:23:54+00:00,DecentralizedYT,Andrew Tate FIRST INTERVIEW After Getting Out Of Jail https://t.co/WUpYmf6g4L #andrew_tate #AndrewTate #AndrewTatearrested #AprilFoolsDay #AustralianGP #cskvsgt #IPL2023OpeningCeremony #JioCinema #thankyouPikamee #tnwx
15,2023-04-01 07:23:30+00:00,Enewz5,"IPL 2023: ஒரே நாளில் 2.5 கோடி பேர் பதிவிறக்கம்…,

 ஐபிஎல் தொடரால் நிகழ்ந்த மைல்கல்!!

https://t.co/KgPOhINVON

#IPL2023  #JioCinema  #IPL2023OpeningCeremony  #MSDhoni"
16,2023-04-01 07:22:49+00:00,Usman01801875,"#AprilFoolsDay
#JioCinema
#thankyouPikamee
#cskvsgt
#tnwx
https://t.co/ENcR9aOX8u"
17,2023-04-01 07:22:13+00:00,Myepica,Oh dear @JioCinema. 💯 appreciate your brutal honesty.  Via @KuldeepTak1007  #JioCinema https://t.co/oQOOvmdKq7
18,2023-04-01 07:21:34+00:00,AnandG666,"#TATAIPL #TATAIPL2023 
#IPLonJioCinema 

#IPL2023 

#cskvsgt Match 1 Highlights on #JioCinema 

https://t.co/i0Me0aOVCc"
19,2023-04-01 07:21:29+00:00,HarshJ1111,"#georgia becomes first #US state to pass #resolution condemning #hinduphobic and anti-Hind Bigotry

sent a bone chilling effect down the spine of the anti-india lobbies. 

https://t.co/hjSgWohWJm

#HindusUnderAttack #JioCinema #Ramadan #RamNavami #ନୂଆଓଡ଼ିଶା #AprilFoolDay #cskvsgt https://t.co/DL5NRuVePr"
